County,County_code,Year,Zip,num_tests,under_5_mcg_dL,5_10_mcg_dL,10_15_mcg_dL,over_15_mcg_dL,total_elevated,percent_elevated,rate_per_1000,zip_location,county_location
Lewis,49,2017,13325,14,14,0,0,0,0,0,0,"(43.577189, -75.564678)","(43.786397, -75.442617)"
Essex,31,2011,12883,70,NA,NA,NA,NA,NA,NA,NA,"(43.843857, -73.431459)","(44.108971, -73.777573)"
Jefferson,45,2015,13656,26,NA,NA,0,0,0,0,0,"(44.19102, -75.95556)","(44.0607, -75.9928)"
Warren,113,2020,12853,16,NA,NA,0,0,0,0,0,"(43.721592, -73.920875)","(43.555105, -73.838139)"
St. Lawrence,89,2000,13668,6,NA,NA,0,0,0,0,0,"(44.76282, -74.99124)","(44.488113, -75.074311)"
Clinton,19,2001,12979,14,14,0,0,0,0,0,0,"(44.990534, -73.367171)","(44.75271, -73.705648)"
St. Lawrence,89,2013,13635,6,NA,NA,0,0,0,0,0,"(44.30802, -75.25608)","(44.488113, -75.074311)"
Herkimer,43,2017,13350,119,108,7,NA,NA,NA,NA,NA,"(43.030105, -74.984973)","(43.1631, -74.8741)"
St. Lawrence,89,2017,13681,13,NA,NA,0,0,0,0,0,"(44.412057, -75.390018)","(44.488113, -75.074311)"
Franklin,33,2000,12980,6,NA,NA,0,0,0,0,0,"(44.656564, -74.564467)","(44.594374, -74.31067)"
Clinton,19,2003,12912,9,9,0,0,0,0,0,0,"(44.459424, -73.713927)","(44.75271, -73.705648)"
Clinton,19,2015,12958,20,20,0,0,0,0,0,0,"(44.961265, -73.581139)","(44.75271, -73.705648)"
St. Lawrence,89,2006,13642,93,58,33,NA,NA,NA,NA,NA,"(44.30244, -75.41568)","(44.488113, -75.074311)"
Jefferson,45,2014,13601,652,606,36,NA,NA,10,0.015,15,"(43.98444, -75.90054)","(44.0607, -75.9928)"
St. Lawrence,89,2010,13613,19,NA,NA,0,0,0,0,0,"(44.860326, -74.725235)","(44.488113, -75.074311)"
St. Lawrence,89,2020,12967,6,6,0,0,0,0,0,0,"(44.761693, -74.654141)","(44.488113, -75.074311)"
Herkimer,43,2018,13340,85,NA,NA,0,0,0,0,0,"(43.040165, -75.082322)","(43.1631, -74.8741)"
St. Lawrence,89,2008,13613,14,14,0,0,0,0,0,0,"(44.860326, -74.725235)","(44.488113, -75.074311)"
St. Lawrence,89,2011,13658,14,14,0,0,0,0,0,0,"(44.725973, -75.323276)","(44.488113, -75.074311)"
Jefferson,45,2017,13622,23,NA,NA,0,0,0,0,0,"(44.064254, -76.129074)","(44.0607, -75.9928)"
Clinton,19,2016,12979,35,35,0,0,0,0,0,0,"(44.990534, -73.367171)","(44.75271, -73.705648)"
St. Lawrence,89,2006,13680,14,NA,NA,0,0,0,0,0,"(44.591957, -75.320308)","(44.488113, -75.074311)"
Warren,113,2020,12885,60,NA,NA,0,0,0,0,0,"(43.500656, -73.787701)","(43.555105, -73.838139)"
Jefferson,45,2016,13607,7,7,0,0,0,0,0,0,"(44.331922, -75.917693)","(44.0607, -75.9928)"
Clinton,19,2018,12979,24,NA,NA,NA,NA,NA,NA,NA,"(44.990534, -73.367171)","(44.75271, -73.705648)"
St. Lawrence,89,2004,13648,7,NA,NA,NA,NA,NA,NA,NA,"(44.20218, -75.29706)","(44.488113, -75.074311)"
Lewis,49,2007,13325,6,NA,NA,0,0,0,0,0,"(43.577189, -75.564678)","(43.786397, -75.442617)"
St. Lawrence,89,2011,13669,140,128,11,NA,NA,NA,NA,NA,"(44.66628, -75.49944)","(44.488113, -75.074311)"
Essex,31,2013,12932,9,9,0,0,0,0,0,0,"(44.226627, -73.624732)","(44.108971, -73.777573)"
